主标题,WEAVING STRATA
副标题,基于垂直地表重构与城市界面修复的开放式街区 / Vertical Ground Reconstruction & Urban Interface Restoration
项目时间,2025.10-2026.01
位置地点,中国·成都市·武侯区
坐标,104.08442681181009,30.55976853391304
功能类型,居住区|公共住宅
建筑面积,107718 m2
容积率,2.34
绿化率,32%
设计人员,沈俊阳
项目文本,本案立足于成都高密度城市语境,旨在通过空间范式的重构,回应传统封闭式“大街区”导致的城市肌理割裂问题。设计突破了常规的二元对立边界,探索一种兼具公共性与领域感的“立体开放街区”新范式。
在空间组织上,方案策略性地引入“垂直分层”体系:底层采用全面架空处理,释放首层地面作为流动的“城市基面”。这一高渗透性的灰空间设计,不仅消解了高层建筑的体量压迫感,更结合沿街商业界面的置入,模糊了私有领地与公共街道的物理界限,使城市活力得以向内漫延,真正实现“街道即界面”的有机融合。
作为核心亮点,设计在二层构建了一套连续的空中步道网络,定义为社区的“第二地表”。该系统在垂直维度上彻底剥离了人行流线与地面的非机动车及物流交通,规避了混行干扰。红色的步道系统不仅是高效的通行载体,更是介入场地的
“社会电容器”,串联起各楼栋的休憩节点,结合滨水视线通廊,为居民构建了一个纯粹、安全的立体慢行公共领域。本项目试图以这种空间修补的方式,重塑邻里交往的微观尺度,在保留居住私密性的同时,将住区重新“缝合”进城市的有机生长之中。
